,ethanol,D-Glucose,maltose,maltotriose,Linalool,GERANIOL
yRL7-285,33.71023,0.00033,1.96527,3.35426,0.27444,0.08956
yRL7-282,32.41625,0.00033,1.79041,3.27832,0.03991,0.03006
yRL7-281,30.51001,0.00033,2.57443,3.79657,0.02872,0.06941
yRL7-260,32.95396,0.00033,2.31921,3.54488,0.26134,0.43347
yRL7-254,30.38758,0.00033,7.3806,5.48242,0.46347,0.14885
yRL7-277,35.0538,0.00033,1.67142,3.17007,0.47835,0.36925
yRL7-272,31.833,0.00033,2.55063,3.59132,0.4686,0.46129
yRL7-256,33.76783,0.00033,2.1294,3.43913,1.01079,1.45261
yRL7-263,34.23677,0.00033,0.8196,2.76209,0.62621,0.49314
yRL7-267,31.89319,0.00033,1.64788,3.1229,0.26653,0.03579
yRL7-265,33.348,0.00033,2.35335,3.65583,0.1035,0.48011
yRL7-264,18.19713,0.00033,23.63089,8.42172,0.04815,0.00468
yRL7-262,33.36125,0.00033,1.59983,3.15706,0.02173,0.0
yRL7-D1,31.88672,0.00033,1.77876,3.17193,0.63344,0.528
yRL7-B7,30.95945,0.00033,2.1481,3.31145,0.16176,0.0
yRL7-275,33.70148,0.00033,1.69336,3.08317,0.24789,0.57108
yRL7-250,34.82554,0.00033,1.49798,4.30992,3.58374,1.4278
yRL7-276,29.7742,0.00033,6.23106,4.96534,0.19043,0.0
yRL7-249,35.04134,0.00033,1.8548,3.29111,0.11723,0.44413
yRL7-278,34.79085,0.00033,1.3618,2.87336,0.11217,0.0
yRL7-253,34.55994,0.00033,2.72088,3.59756,1.41759,0.04341
yRL7-A3,31.43729,0.00033,2.58534,3.49319,0.59518,0.0
yRL7-252,33.12421,0.00033,3.76767,4.19685,0.2455,0.21386
yRL7-257,33.24221,0.00033,2.42905,3.68305,0.77394,0.04171
yRL7-269,34.06846,0.00033,1.80729,3.1878,0.29496,0.70382
yRL7-255,32.55351,0.00033,3.87028,4.54639,0.61416,0.38811
yRL7-273,33.8648,0.00033,1.64593,2.99729,0.55834,0.20905
yRL7-261,32.42854,0.00033,3.09675,4.06195,0.50627,0.85598
yRL7-274,31.1537,0.00033,3.02418,3.69993,0.19317,0.57302
yRL7-258,34.44927,0.00033,2.28704,3.53553,0.88245,0.17274
