Line Name,Measurement Type,Value,ACCOAC,MDH,PTAr,CS,ACACT1r,PPC,PPCK,PFL
Strain 1,CID:12988,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
Strain 2,CID:12988,0.5521006566981328,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
Strain 3,CID:12988,0.3491964628655708,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0
Strain 4,CID:12988,0.551849089642285,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0
Strain 5,CID:12988,0.0801168354764624,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
Strain 6,CID:12988,0.0786466294538431,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
Strain 7,CID:12988,0.5726483723065023,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
Strain 8,CID:12988,0.1118982239488501,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Strain 9,CID:12988,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0
Strain 10,CID:12988,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0
Strain 11,CID:12988,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
Strain 12,CID:12988,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0
Strain 13,CID:12988,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0
Strain 14,CID:12988,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0
Strain 15,CID:12988,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0
Strain 16,CID:12988,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0
Strain 17,CID:12988,0.4950966099060365,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
Strain 18,CID:12988,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0
Strain 19,CID:12988,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Strain 20,CID:12988,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
Strain 21,CID:12988,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0
Strain 22,CID:12988,0.1077678893172736,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0
Strain 23,CID:12988,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0
Strain 24,CID:12988,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0
Strain 25,CID:12988,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
Strain 26,CID:12988,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
Strain 27,CID:12988,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Strain 28,CID:12988,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Strain 29,CID:12988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Strain 30,CID:12988,0.0871528690456031,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
Strain 31,CID:12988,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0
Strain 32,CID:12988,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0
