Study ID,Study Name,Study Description,Study Contact,Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Protocol ID,Protocol Name,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,0.0
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5282,yRL7-285,None,F,,,,1,Targeted Proteomics,5342,yRL7-285,"R-linalool synthase, chloroplastic",sp|Q8H2B4|LLOS_MENAQ,2020-02-19 20:28:48.594547+00:00,hours,,8545.44333
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5282,yRL7-285,None,F,,,,1,Targeted Proteomics,5342,yRL7-285,"Geraniol synthase, chloroplastic",sp|Q6USK1|GERS_OCIBA,2020-02-19 20:28:48.594547+00:00,hours,,622.86
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5282,yRL7-285,None,F,,,,1,Targeted Proteomics,5342,yRL7-285,Farnesyl pyrophosphate synthase,sp|P08524|FPPS_YEAST,2020-02-19 20:28:48.594547+00:00,hours,,17711.13667
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5282,yRL7-285,None,F,,,,1,Targeted Proteomics,5342,yRL7-285,Hydroxymethylglutaryl-CoA synthase,sp|P54839|HMCS_YEAST,2020-02-19 20:28:48.594547+00:00,hours,,20474.1
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5283,yRL7-282,None,F,,,,1,Targeted Proteomics,5343,yRL7-282,"R-linalool synthase, chloroplastic",sp|Q8H2B4|LLOS_MENAQ,2020-02-19 20:28:48.594547+00:00,hours,,2997.74
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5283,yRL7-282,None,F,,,,1,Targeted Proteomics,5343,yRL7-282,"Geraniol synthase, chloroplastic",sp|Q6USK1|GERS_OCIBA,2020-02-19 20:28:48.594547+00:00,hours,,9172.155
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5283,yRL7-282,None,F,,,,1,Targeted Proteomics,5343,yRL7-282,Farnesyl pyrophosphate synthase,sp|P08524|FPPS_YEAST,2020-02-19 20:28:48.594547+00:00,hours,,19994.175
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5283,yRL7-282,None,F,,,,1,Targeted Proteomics,5343,yRL7-282,Hydroxymethylglutaryl-CoA synthase,sp|P54839|HMCS_YEAST,2020-02-19 20:28:48.594547+00:00,hours,,19124.54
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5284,yRL7-281,None,F,,,,1,Targeted Proteomics,5344,yRL7-281,"R-linalool synthase, chloroplastic",sp|Q8H2B4|LLOS_MENAQ,2020-02-19 20:28:48.594547+00:00,hours,,2563.36667
5281,Hopless beer Cycle 2,"During the brewing process, S. cerevisiae converts the fermentable sugars in grains into ethanol and a host of other flavor determining by-products. Flowers of the hop plant, Humulus lupulus, are added at specific points during the brewing process and are rich in various terpenes, a class of metabolites that impart hoppy flavor and fragrance to beer. The two monoterpene molecules linalool and geraniol have been identified as primary flavor determinants by several independent sensory analyses of hop extract aroma and finished beer taste and aroma. These two molecules may be entirely responsible for floral hop aroma of Cascade hops, the most widely used hop in American craft brewing. In this work, we have engineered strains of S. cerevisiae to biosynthesize both linalool and geraniol as a product of primary metabolism, over a range of concentrations that encompass the final levels of various Cascade-hopped beers.",HGMartin@lbl.gov,5284,yRL7-281,None,F,,,,1,Targeted Proteomics,5344,yRL7-281,"Geraniol synthase, chloroplastic",sp|Q6USK1|GERS_OCIBA,2020-02-19 20:28:48.594547+00:00,hours,,3787.27333
