,ACCOAC,MDH,PTAr,CS,ACACT1r,PPC,PPCK,PFL,pred
43,2,2,1,2,2,1,2,2,0.58977455
65,2,1,1,2,2,2,0,1,0.5891979
30,2,1,1,2,2,2,1,1,0.5886747
49,1,2,2,2,1,1,0,1,0.587963
86,2,2,2,2,2,1,0,1,0.5868564
90,2,2,2,2,1,1,0,2,0.5843069
77,1,2,1,2,2,1,1,1,0.5823191
13,2,2,1,2,1,2,0,1,0.58075005
72,2,2,2,2,2,1,2,2,0.5802654
94,2,2,2,2,2,1,2,2,0.5802654
82,1,1,1,2,1,2,0,1,0.57368994
61,2,1,1,2,2,1,2,1,0.5720824
71,1,2,2,2,1,1,2,1,0.56971437
32,2,1,1,2,1,1,0,1,0.56962764
33,2,2,1,2,1,1,1,0,0.5672094
38,2,1,2,2,1,2,0,0,0.56557083
93,2,1,2,2,1,1,0,1,0.56431895
21,1,1,2,2,1,2,0,1,0.5638259
46,1,1,2,2,1,2,0,1,0.5638259
20,1,1,1,2,2,2,1,0,0.5623667
47,1,2,1,2,1,1,2,2,0.5616449
3,2,1,1,2,2,2,2,2,0.5592422
50,1,2,1,2,1,1,1,0,0.55647606
88,2,2,1,2,1,2,1,1,0.55582553
40,2,2,1,2,2,2,2,1,0.55493355
59,2,1,1,1,2,2,1,0,0.55008274
48,1,1,1,2,2,2,1,2,0.54967713
25,2,2,1,1,1,1,0,0,0.547269
11,1,1,1,2,1,2,0,2,0.54692215
56,2,2,2,2,1,2,1,1,0.5462218
28,2,2,1,1,2,1,2,2,0.5456046
63,2,2,1,2,2,2,0,0,0.5448417
53,1,1,1,2,2,1,2,0,0.54416025
36,1,1,2,2,2,1,2,1,0.54371876
87,1,1,1,2,1,2,2,1,0.54162055
54,2,1,1,2,1,2,2,0,0.54113835
97,1,2,1,1,2,1,2,1,0.54070723
70,2,1,2,2,2,1,0,2,0.540667
75,1,1,1,2,2,1,1,0,0.5393272
16,1,2,2,2,2,2,1,1,0.5386241
55,1,1,1,2,2,1,0,0,0.53665775
5,2,2,2,2,2,2,1,0,0.5336986
34,2,2,2,2,2,2,0,0,0.53287196
37,2,2,2,2,2,2,0,0,0.53287196
26,2,2,2,2,2,2,0,0,0.53287196
18,1,2,1,1,1,1,0,0,0.53184825
96,1,2,1,1,1,1,0,0,0.53184825
69,1,1,2,2,1,2,1,0,0.53097165
6,1,1,1,2,1,1,1,1,0.5287192
66,2,2,2,2,1,2,1,2,0.52721494
17,1,1,1,2,2,1,1,2,0.52558696
41,1,2,1,2,1,2,1,0,0.52507424
79,2,1,1,1,2,1,1,0,0.5244303
78,1,2,2,2,2,2,1,0,0.5226741
51,2,2,1,1,2,2,1,1,0.52264273
84,2,2,2,1,2,1,2,1,0.522248
60,1,1,2,2,1,1,1,1,0.5211959
58,1,2,1,1,2,1,2,2,0.5200828
67,2,2,1,1,1,1,1,2,0.5171827
76,2,2,2,1,1,1,2,1,0.51678
14,2,1,1,1,1,2,2,1,0.51455575
89,1,2,1,1,2,1,0,1,0.51444334
57,1,1,2,2,1,2,2,2,0.51403373
98,1,2,2,2,2,2,2,2,0.5134855
85,1,2,1,2,1,2,2,2,0.51332957
83,1,1,1,1,1,2,0,0,0.5115356
22,1,2,2,2,1,2,1,2,0.5106879
23,1,1,2,2,1,1,1,0,0.50994945
24,2,1,1,1,1,1,2,1,0.5057795
12,1,2,2,1,2,1,2,0,0.50488406
9,1,1,1,1,2,2,0,1,0.5015859
95,2,2,2,1,1,1,0,1,0.5003538
62,2,1,1,1,1,1,1,0,0.5001299
80,2,1,1,1,2,1,0,1,0.49921757
7,2,2,2,1,2,1,1,2,0.496491
19,1,2,2,1,1,1,2,1,0.49298412
15,2,1,1,1,1,2,0,2,0.49243826
74,2,1,1,1,2,1,1,2,0.49164298
91,1,2,2,1,1,1,1,1,0.48815107
4,2,1,2,1,1,2,1,0,0.4860805
81,2,2,1,1,1,2,0,2,0.4849395
99,1,1,1,1,2,1,2,2,0.48236892
52,1,1,2,1,2,2,1,1,0.48197514
1,2,1,2,1,1,2,1,1,0.48093626
31,2,2,2,1,1,1,0,2,0.4806939
45,2,1,2,1,1,1,2,0,0.47751537
68,2,2,2,1,2,2,2,1,0.47361436
92,2,1,2,1,1,1,2,1,0.47237113
0,2,1,2,1,1,2,1,2,0.46620092
39,2,1,2,1,1,2,2,2,0.4652489
44,1,1,2,1,1,2,2,0,0.4632239
73,2,2,2,1,1,2,1,2,0.45367834
64,1,2,2,1,1,2,2,0,0.4506609
2,2,2,2,1,2,2,0,0,0.4498181
8,1,1,1,1,1,1,1,2,0.44964054
10,2,1,2,1,2,1,0,1,0.44923323
42,1,2,2,1,2,2,1,2,0.44554037
29,1,1,2,1,1,2,2,2,0.4391266
27,2,1,2,1,2,1,0,2,0.43705398
35,1,2,2,1,1,2,0,2,0.42483616
