Line Name,Measurement Type,Time,Value,Units
Strain 1,Optical Density,0.0,0.01,n/a
Strain 1,Optical Density,1.0,0.017078352596777726,n/a
Strain 1,Optical Density,2.0,0.029167012741986447,n/a
Strain 1,Optical Density,3.0,0.04981245278023532,n/a
Strain 1,Optical Density,4.0,0.08507146322911996,n/a
Strain 1,Optical Density,5.0,0.14528804449507216,n/a
Strain 1,Optical Density,6.0,0.2481280451983173,n/a
Strain 1,Optical Density,7.0,0.42376182450460625,n/a
Strain 1,Optical Density,8.0,0.7237153855943508,n/a
Strain 1,Optical Density,9.0,1.2359866534893273,n/a
