Line Name,Measurement Type,Time,Value,Units
Best Strain,EX_cm_e,0.0,0.0,mmol/gdwh
Best Strain,EX_cmp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_co2_e,0.0,9.593168097728642,mmol/gdwh
Best Strain,EX_cobalt2_e,0.0,-1.3380665963381672e-05,mmol/gdwh
Best Strain,DM_4crsol_c,0.0,0.00011935554039336429,mmol/gdwh
Best Strain,DM_5drib_c,0.0,0.00012042599367043913,mmol/gdwh
Best Strain,DM_aacald_c,0.0,0.0,mmol/gdwh
Best Strain,DM_amob_c,0.0,1.0704532770705314e-06,mmol/gdwh
Best Strain,DM_mththf_c,0.0,0.00023978153406382208,mmol/gdwh
Best Strain,EX_colipa_e,0.0,0.0,mmol/gdwh
Best Strain,DM_oxam_c,0.0,0.0,mmol/gdwh
Best Strain,EX_glc__D_e,0.0,-10.0,mmol/gdwh
Best Strain,EX_glcn_e,0.0,0.0,mmol/gdwh
Best Strain,BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0,mmol/gdwh
Best Strain,EX_glcr_e,0.0,0.0,mmol/gdwh
Best Strain,EX_colipap_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glcur_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glcur1p_e,0.0,0.0,mmol/gdwh
Best Strain,BIOMASS_Ec_iJO1366_core_53p95M,0.0,0.5352266385352669,mmol/gdwh
Best Strain,EX_12ppd__R_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gln__L_e,0.0,0.0,mmol/gdwh
Best Strain,EX_cpgn_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glu__L_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gly_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyald_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyb_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyc_e,0.0,0.0,mmol/gdwh
Best Strain,EX_12ppd__S_e,0.0,0.0,mmol/gdwh
Best Strain,EX_14glucan_e,0.0,0.0,mmol/gdwh
Best Strain,EX_cpgn_un_e,0.0,0.0,mmol/gdwh
Best Strain,EX_15dap_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyc__R_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyc2p_e,0.0,0.0,mmol/gdwh
Best Strain,EX_23camp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_23ccmp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_23cgmp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_23cump_e,0.0,0.0,mmol/gdwh
Best Strain,EX_23dappa_e,0.0,0.0,mmol/gdwh
Best Strain,EX_26dap__M_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyc3p_e,0.0,0.0,mmol/gdwh
Best Strain,EX_glyclt_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gmp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gsn_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gthox_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gthrd_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gtp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_gua_e,0.0,0.0,mmol/gdwh
Best Strain,EX_h_e,0.0,14.776320277126224,mmol/gdwh
Best Strain,EX_h2_e,0.0,0.0,mmol/gdwh
Best Strain,EX_h2o_e,0.0,23.7262877831615,mmol/gdwh
Best Strain,EX_h2o2_e,0.0,0.0,mmol/gdwh
Best Strain,EX_h2s_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hacolipa_e,0.0,0.0,mmol/gdwh
Best Strain,EX_halipa_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hdca_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hdcea_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hg2_e,0.0,0.0,mmol/gdwh
Best Strain,EX_his__L_e,0.0,0.0,mmol/gdwh
Best Strain,EX_2ddglcn_e,0.0,0.0,mmol/gdwh
Best Strain,EX_34dhpac_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3amp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3cmp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3gmp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3hcinnm_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3hpp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3hpppn_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hom__L_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hxa_e,0.0,0.0,mmol/gdwh
Best Strain,EX_hxan_e,0.0,0.0,mmol/gdwh
Best Strain,EX_idon__L_e,0.0,0.0,mmol/gdwh
Best Strain,EX_3ump_e,0.0,0.0,mmol/gdwh
Best Strain,EX_4abut_e,0.0,0.0,mmol/gdwh
Best Strain,EX_4hoxpacd_e,0.0,0.0,mmol/gdwh
Best Strain,EX_5dglcn_e,0.0,0.0,mmol/gdwh
Best Strain,EX_5mtr_e,0.0,0.0,mmol/gdwh
Best Strain,EX_LalaDglu_e,0.0,0.0,mmol/gdwh
Best Strain,EX_ile__L_e,0.0,0.0,mmol/gdwh
Best Strain,EX_imp_e,0.0,0.0,mmol/gdwh
Best Strain,EX_indole_e,0.0,0.0,mmol/gdwh
Best Strain,EX_inost_e,0.0,0.0,mmol/gdwh
Best Strain,EX_ins_e,0.0,0.0,mmol/gdwh
Best Strain,EX_isetac_e,0.0,0.0,mmol/gdwh
Best Strain,EX_k_e,0.0,-0.10447249325561418,mmol/gdwh
