Line Name,Measurement Type,Time,Value,Units
Strain 7,CID:1549101,0.0,0.07941671453520747,mM
Strain 7,CID:175,0.0,3.89942248855621,mM
Strain 7,CID:164533,0.0,0.4146878917241761,mM
Strain 7,CID:15938965,0.0,0.019904208208637354,mM
Strain 7,CID:21604863,0.0,0.9619692291342664,mM
Strain 7,CID:15939608,0.0,0.1438642020318947,mM
Strain 7,CID:27284,0.0,0.006157344563643961,mM
Strain 7,CID:1038,0.0,6.000754938016225,mM
Strain 7,CID:16741146,0.0,7.330908484861428,mM
Strain 7,CID:1778309,0.0,0.0449636762678297,mM
Strain 7,CID:1549101,1.0,0.07941671453520602,mM
Strain 7,CID:175,1.0,3.899422488556401,mM
Strain 7,CID:164533,1.0,0.41468789172417764,mM
Strain 7,CID:15938965,1.0,0.019904208208637676,mM
Strain 7,CID:21604863,1.0,0.9619692291342687,mM
Strain 7,CID:15939608,1.0,0.14386420203189768,mM
Strain 7,CID:27284,1.0,0.006157344563643919,mM
Strain 7,CID:1038,1.0,6.000754938016289,mM
Strain 7,CID:16741146,1.0,7.330908484861578,mM
Strain 7,CID:1778309,1.0,0.04496367626782896,mM
Strain 7,CID:1549101,2.0,0.07941671453520602,mM
Strain 7,CID:175,2.0,3.899422488556401,mM
Strain 7,CID:164533,2.0,0.41468789172417764,mM
Strain 7,CID:15938965,2.0,0.019904208208637676,mM
Strain 7,CID:21604863,2.0,0.9619692291342687,mM
Strain 7,CID:15939608,2.0,0.14386420203189768,mM
Strain 7,CID:27284,2.0,0.006157344563643919,mM
Strain 7,CID:1038,2.0,6.000754938016289,mM
Strain 7,CID:16741146,2.0,7.330908484861578,mM
Strain 7,CID:1778309,2.0,0.04496367626782896,mM
Strain 7,CID:1549101,3.0,0.07941671453520602,mM
Strain 7,CID:175,3.0,3.899422488556401,mM
Strain 7,CID:164533,3.0,0.41468789172417764,mM
Strain 7,CID:15938965,3.0,0.019904208208637676,mM
Strain 7,CID:21604863,3.0,0.9619692291342687,mM
Strain 7,CID:15939608,3.0,0.14386420203189768,mM
Strain 7,CID:27284,3.0,0.006157344563643919,mM
Strain 7,CID:1038,3.0,6.000754938016289,mM
Strain 7,CID:16741146,3.0,7.330908484861578,mM
Strain 7,CID:1778309,3.0,0.04496367626782896,mM
Strain 7,CID:1549101,4.0,0.07941671453520602,mM
Strain 7,CID:175,4.0,3.899422488556401,mM
Strain 7,CID:164533,4.0,0.41468789172417764,mM
Strain 7,CID:15938965,4.0,0.019904208208637676,mM
Strain 7,CID:21604863,4.0,0.9619692291342687,mM
Strain 7,CID:15939608,4.0,0.14386420203189768,mM
Strain 7,CID:27284,4.0,0.006157344563643919,mM
Strain 7,CID:1038,4.0,6.000754938016289,mM
Strain 7,CID:16741146,4.0,7.330908484861578,mM
Strain 7,CID:1778309,4.0,0.04496367626782896,mM
Strain 7,CID:1549101,5.0,0.07941671453520602,mM
Strain 7,CID:175,5.0,3.899422488556401,mM
Strain 7,CID:164533,5.0,0.41468789172417764,mM
Strain 7,CID:15938965,5.0,0.019904208208637676,mM
Strain 7,CID:21604863,5.0,0.9619692291342687,mM
Strain 7,CID:15939608,5.0,0.14386420203189768,mM
Strain 7,CID:27284,5.0,0.006157344563643919,mM
Strain 7,CID:1038,5.0,6.000754938016289,mM
Strain 7,CID:16741146,5.0,7.330908484861578,mM
Strain 7,CID:1778309,5.0,0.04496367626782896,mM
Strain 7,CID:1549101,6.0,0.07941671453520602,mM
Strain 7,CID:175,6.0,3.899422488556401,mM
Strain 7,CID:164533,6.0,0.41468789172417764,mM
Strain 7,CID:15938965,6.0,0.019904208208637676,mM
Strain 7,CID:21604863,6.0,0.9619692291342687,mM
Strain 7,CID:15939608,6.0,0.14386420203189768,mM
Strain 7,CID:27284,6.0,0.006157344563643919,mM
Strain 7,CID:1038,6.0,6.000754938016289,mM
Strain 7,CID:16741146,6.0,7.330908484861578,mM
Strain 7,CID:1778309,6.0,0.04496367626782896,mM
Strain 7,CID:1549101,7.0,0.07941671453520602,mM
Strain 7,CID:175,7.0,3.899422488556401,mM
Strain 7,CID:164533,7.0,0.41468789172417764,mM
Strain 7,CID:15938965,7.0,0.019904208208637676,mM
Strain 7,CID:21604863,7.0,0.9619692291342687,mM
Strain 7,CID:15939608,7.0,0.14386420203189768,mM
Strain 7,CID:27284,7.0,0.006157344563643919,mM
Strain 7,CID:1038,7.0,6.000754938016289,mM
Strain 7,CID:16741146,7.0,7.330908484861578,mM
Strain 7,CID:1778309,7.0,0.04496367626782896,mM
Strain 7,CID:1549101,8.0,0.07941671453520602,mM
Strain 7,CID:175,8.0,3.899422488556401,mM
Strain 7,CID:164533,8.0,0.41468789172417764,mM
Strain 7,CID:15938965,8.0,0.019904208208637676,mM
Strain 7,CID:21604863,8.0,0.9619692291342687,mM
Strain 7,CID:15939608,8.0,0.14386420203189768,mM
Strain 7,CID:27284,8.0,0.006157344563643919,mM
Strain 7,CID:1038,8.0,6.000754938016289,mM
Strain 7,CID:16741146,8.0,7.330908484861578,mM
Strain 7,CID:1778309,8.0,0.04496367626782896,mM
