Line Name,Measurement Type,Time,Value,Units
Best Strain,P06996,0.0,0.0,proteins/cell
Best Strain,P77747,0.0,0.0,proteins/cell
Best Strain,P02932,0.0,0.0,proteins/cell
Best Strain,P02931,0.0,0.0,proteins/cell
Best Strain,P68187,0.0,0.0,proteins/cell
Best Strain,P0AEX9,0.0,0.0,proteins/cell
Best Strain,P68183,0.0,0.0,proteins/cell
Best Strain,P02916,0.0,0.0,proteins/cell
Best Strain,P02943,0.0,0.0,proteins/cell
Best Strain,P08331,0.0,0.0,proteins/cell
Best Strain,P39196,0.0,0.0,proteins/cell
Best Strain,P31119,0.0,0.0,proteins/cell
Best Strain,P37666,0.0,0.0,proteins/cell
Best Strain,P0AEI6,0.0,0.0,proteins/cell
Best Strain,P46891,0.0,0.0,proteins/cell
Best Strain,P75895,0.0,0.0,proteins/cell
Best Strain,P0A6Q6,0.0,1.2083182052583675e-06,proteins/cell
Best Strain,P0A6Q3,0.0,0.0,proteins/cell
Best Strain,P0AF12,0.0,0.0,proteins/cell
Best Strain,P45395,0.0,0.026204705806978448,proteins/cell
Best Strain,P17115,0.0,0.02618513757031623,proteins/cell
Best Strain,P0A6A8,0.0,0.027407036066623622,proteins/cell
Best Strain,P56258,0.0,0.0,proteins/cell
Best Strain,P26612,0.0,0.0,proteins/cell
Best Strain,P25718,0.0,0.0,proteins/cell
Best Strain,Q46829,0.0,0.0,proteins/cell
Best Strain,P50457,0.0,0.0,proteins/cell
Best Strain,P22256,0.0,0.0,proteins/cell
Best Strain,P77674,0.0,0.0,proteins/cell
Best Strain,P77397,0.0,0.0,proteins/cell
Best Strain,P25527,0.0,0.0,proteins/cell
Best Strain,P76458,0.0,0.0,proteins/cell
Best Strain,P76459,0.0,0.0,proteins/cell
Best Strain,P76503,0.0,0.0,proteins/cell
Best Strain,P21151,0.0,0.0,proteins/cell
Best Strain,P76461,0.0,0.27407506357762534,proteins/cell
Best Strain,P37677,0.0,0.0,proteins/cell
Best Strain,P0AEK2,0.0,1.31198851971269e-06,proteins/cell
Best Strain,P76460,0.0,0.0,proteins/cell
Best Strain,P77580,0.0,1.0203964765779714,proteins/cell
Best Strain,P0A9Q7,0.0,0.0,proteins/cell
Best Strain,P77567,0.0,0.0,proteins/cell
