Line Name,Measurement Type,Time,Value,Units
Strain 7,P17115,0.0,0.02618513757031623,proteins/cell
Strain 7,P45395,0.0,0.026204705806978448,proteins/cell
Strain 7,P0A6A8,0.0,0.027407036066623622,proteins/cell
Strain 7,P76461,0.0,0.27407506357762534,proteins/cell
Strain 7,P77580,0.0,1.0203964765779714,proteins/cell
Strain 7,P24182,0.0,0.053735422224927214,proteins/cell
Strain 7,P0A9Q5,0.0,0.05179073368990493,proteins/cell
Strain 7,P0ABD5,0.0,0.05485590419696403,proteins/cell
Strain 7,P00893,0.0,0.5691742259377072,proteins/cell
Strain 7,P17115,1.0,0.023700107214388484,proteins/cell
Strain 7,P45395,1.0,0.027314848783234803,proteins/cell
Strain 7,P0A6A8,1.0,0.026780077105897564,proteins/cell
Strain 7,P76461,1.0,0.2353227258100846,proteins/cell
Strain 7,P77580,1.0,1.0798539289274571,proteins/cell
Strain 7,P24182,1.0,0.04952664477682256,proteins/cell
Strain 7,P0A9Q5,1.0,0.05034760385213985,proteins/cell
Strain 7,P0ABD5,1.0,0.05161167221358782,proteins/cell
Strain 7,P00893,1.0,0.6036137480031205,proteins/cell
Strain 7,P17115,2.0,0.024770652774799267,proteins/cell
Strain 7,P45395,2.0,0.025662814604245732,proteins/cell
Strain 7,P0A6A8,2.0,0.02525603923752634,proteins/cell
Strain 7,P76461,2.0,0.2481266517518804,proteins/cell
Strain 7,P77580,2.0,1.083609449800663,proteins/cell
Strain 7,P24182,2.0,0.05084960252563283,proteins/cell
Strain 7,P0A9Q5,2.0,0.05160769503348842,proteins/cell
Strain 7,P0ABD5,2.0,0.05098640926634855,proteins/cell
Strain 7,P00893,2.0,0.6102534040293207,proteins/cell
Strain 7,P17115,3.0,0.024169141481642772,proteins/cell
Strain 7,P45395,3.0,0.027761670123128045,proteins/cell
Strain 7,P0A6A8,3.0,0.02405189868649445,proteins/cell
Strain 7,P76461,3.0,0.2298974495546746,proteins/cell
Strain 7,P77580,3.0,1.1040550351963399,proteins/cell
Strain 7,P24182,3.0,0.05522553851079442,proteins/cell
Strain 7,P0A9Q5,3.0,0.04744174313940609,proteins/cell
Strain 7,P0ABD5,3.0,0.05302361468594269,proteins/cell
Strain 7,P00893,3.0,0.6225102002546143,proteins/cell
Strain 7,P17115,4.0,0.02893830145936193,proteins/cell
Strain 7,P45395,4.0,0.0275529667801414,proteins/cell
Strain 7,P0A6A8,4.0,0.02761803278893498,proteins/cell
Strain 7,P76461,4.0,0.23887837971946185,proteins/cell
Strain 7,P77580,4.0,1.122533145428913,proteins/cell
Strain 7,P24182,4.0,0.053705490063926345,proteins/cell
Strain 7,P0A9Q5,4.0,0.05252713948990718,proteins/cell
Strain 7,P0ABD5,4.0,0.04865123362097003,proteins/cell
Strain 7,P00893,4.0,0.5499884322449892,proteins/cell
Strain 7,P17115,5.0,0.026327998907777855,proteins/cell
Strain 7,P45395,5.0,0.026060250836537537,proteins/cell
Strain 7,P0A6A8,5.0,0.026510027825789605,proteins/cell
Strain 7,P76461,5.0,0.244231210459811,proteins/cell
Strain 7,P77580,5.0,1.1025234969492814,proteins/cell
Strain 7,P24182,5.0,0.05453510715475929,proteins/cell
Strain 7,P0A9Q5,5.0,0.05578552671280645,proteins/cell
Strain 7,P0ABD5,5.0,0.05575597460902517,proteins/cell
Strain 7,P00893,5.0,0.6066419829373711,proteins/cell
Strain 7,P17115,6.0,0.02641518318803885,proteins/cell
Strain 7,P45395,6.0,0.025383385889970543,proteins/cell
Strain 7,P0A6A8,6.0,0.02681884467187426,proteins/cell
Strain 7,P76461,6.0,0.2578038124883238,proteins/cell
Strain 7,P77580,6.0,1.1610812331572096,proteins/cell
Strain 7,P24182,6.0,0.0510697724571007,proteins/cell
Strain 7,P0A9Q5,6.0,0.05313346265932014,proteins/cell
Strain 7,P0ABD5,6.0,0.052166624584977395,proteins/cell
Strain 7,P00893,6.0,0.5932845082144297,proteins/cell
Strain 7,P17115,7.0,0.027211970322944836,proteins/cell
Strain 7,P45395,7.0,0.025494392710272505,proteins/cell
Strain 7,P0A6A8,7.0,0.02675604019359638,proteins/cell
Strain 7,P76461,7.0,0.23413394647077498,proteins/cell
Strain 7,P77580,7.0,1.086271110581914,proteins/cell
Strain 7,P24182,7.0,0.049305990898158236,proteins/cell
Strain 7,P0A9Q5,7.0,0.05251010629044692,proteins/cell
Strain 7,P0ABD5,7.0,0.05381292994334814,proteins/cell
Strain 7,P00893,7.0,0.620615403343269,proteins/cell
Strain 7,P17115,8.0,0.026059944050304488,proteins/cell
Strain 7,P45395,8.0,0.026058546020414977,proteins/cell
Strain 7,P0A6A8,8.0,0.02600420979769178,proteins/cell
Strain 7,P76461,8.0,0.2415429007339612,proteins/cell
Strain 7,P77580,8.0,1.1198258546562094,proteins/cell
Strain 7,P24182,8.0,0.05813357893555812,proteins/cell
Strain 7,P0A9Q5,8.0,0.04650161766994925,proteins/cell
Strain 7,P0ABD5,8.0,0.05504300772804241,proteins/cell
Strain 7,P00893,8.0,0.5607184023555487,proteins/cell
