Line Name,Measurement Type,Time,Value,Units
Strain 7,b2215,0.0,0.0,FPKM
Strain 7,b1377,0.0,0.0,FPKM
Strain 7,b0241,0.0,0.0,FPKM
Strain 7,b0929,0.0,0.0,FPKM
Strain 7,b4035,0.0,0.0,FPKM
Strain 7,b4034,0.0,0.0,FPKM
Strain 7,b4032,0.0,0.0,FPKM
Strain 7,b4033,0.0,0.0,FPKM
Strain 7,b4036,0.0,0.0,FPKM
Strain 7,b4213,0.0,0.0,FPKM
Strain 7,b2835,0.0,0.0,FPKM
Strain 7,b2836,0.0,0.0,FPKM
Strain 7,b3553,0.0,0.0,FPKM
Strain 7,b1134,0.0,0.0,FPKM
Strain 7,b0446,0.0,0.0,FPKM
Strain 7,b1009,0.0,0.0,FPKM
Strain 7,b0180,0.0,2.2344840616762778e-05,FPKM
Strain 7,b0954,0.0,0.0,FPKM
Strain 7,b0159,0.0,0.0,FPKM
Strain 7,b3197,0.0,0.43797330612303315,FPKM
Strain 7,b2708,0.0,0.41427124177758445,FPKM
Strain 7,b1094,0.0,0.4556374641562032,FPKM
Strain 7,b4481,0.0,0.0,FPKM
Strain 7,b1927,0.0,0.0,FPKM
Strain 7,b3571,0.0,0.0,FPKM
Strain 7,b2901,0.0,0.0,FPKM
Strain 7,b1302,0.0,0.0,FPKM
Strain 7,b2662,0.0,0.0,FPKM
Strain 7,b1444,0.0,0.0,FPKM
Strain 7,b0347,0.0,0.0,FPKM
Strain 7,b2663,0.0,0.0,FPKM
Strain 7,b2221,0.0,0.0,FPKM
Strain 7,b2222,0.0,0.0,FPKM
Strain 7,b2342,0.0,0.0,FPKM
Strain 7,b3845,0.0,0.0,FPKM
Strain 7,b2224,0.0,4.264124214579938,FPKM
Strain 7,b3580,0.0,0.0,FPKM
Strain 7,b1093,0.0,2.1260458821933483e-05,FPKM
Strain 7,b2223,0.0,0.0,FPKM
Strain 7,b0351,0.0,18.0243779356944,FPKM
Strain 7,b1241,0.0,0.0,FPKM
Strain 7,b1463,0.0,0.0,FPKM
Strain 7,b1993,0.0,0.0,FPKM
Strain 7,b2316,0.0,0.8695529732913664,FPKM
Strain 7,b0185,0.0,0.92287398058541,FPKM
Strain 7,b3255,0.0,0.9207072176534998,FPKM
Strain 7,b3256,0.0,0.8556266696822257,FPKM
Strain 7,b4069,0.0,0.0,FPKM
Strain 7,b2323,0.0,2.3458595274657954e-05,FPKM
Strain 7,b1095,0.0,0.0,FPKM
Strain 7,b1119,0.0,0.0,FPKM
Strain 7,b3784,0.0,0.0,FPKM
Strain 7,b2415,0.0,0.0,FPKM
Strain 7,b0679,0.0,0.0,FPKM
Strain 7,b2417,0.0,0.0,FPKM
Strain 7,b1101,0.0,187.8039938377616,FPKM
Strain 7,b2416,0.0,0.0,FPKM
Strain 7,b3959,0.0,3.2251739738047815,FPKM
Strain 7,b2818,0.0,3.2957567303197197,FPKM
Strain 7,b3671,0.0,10.453371988812924,FPKM
Strain 7,b3670,0.0,9.938963573904584,FPKM
Strain 7,b0078,0.0,10.259116874531932,FPKM
Strain 7,b0077,0.0,8.984855214041623,FPKM
Strain 7,b2296,0.0,21.09364169008325,FPKM
Strain 7,b3115,0.0,0.0,FPKM
Strain 7,b1849,0.0,0.0,FPKM
Strain 7,b2428,0.0,0.0,FPKM
Strain 7,b3794,0.0,0.0,FPKM
Strain 7,b1818,0.0,0.0,FPKM
Strain 7,b1819,0.0,0.0,FPKM
Strain 7,b1817,0.0,0.0,FPKM
Strain 7,b2429,0.0,0.0,FPKM
Strain 7,b1397,0.0,0.0,FPKM
Strain 7,b3224,0.0,0.0,FPKM
Strain 7,b1247,0.0,0.0,FPKM
Strain 7,b1246,0.0,0.0,FPKM
Strain 7,b1244,0.0,0.0,FPKM
Strain 7,b1329,0.0,0.0,FPKM
Strain 7,b1245,0.0,0.0,FPKM
Strain 7,b1386,0.0,0.0,FPKM
Strain 7,b4311,0.0,0.0,FPKM
Strain 7,b3225,0.0,0.0,FPKM
Strain 7,b0221,0.0,0.0,FPKM
Strain 7,b0004,0.0,5.902710235330412,FPKM
Strain 7,b1192,0.0,0.0,FPKM
Strain 7,b1243,0.0,0.0,FPKM
Strain 7,b4266,0.0,0.0,FPKM
Strain 7,b1091,0.0,2.3197102271422584e-05,FPKM
Strain 7,b4265,0.0,0.0,FPKM
Strain 7,b3957,0.0,0.0,FPKM
Strain 7,b3199,0.0,0.0,FPKM
Strain 7,b4262,0.0,0.0,FPKM
Strain 7,b4261,0.0,0.0,FPKM
Strain 7,b3200,0.0,0.0,FPKM
Strain 7,b3201,0.0,0.0,FPKM
Strain 7,b1519,0.0,0.0,FPKM
Strain 7,b1276,0.0,17.894721791788932,FPKM
Strain 7,b0118,0.0,0.0,FPKM
Strain 7,b3359,0.0,3.621533763997136,FPKM
Strain 7,b1748,0.0,0.0,FPKM
Strain 7,b1090,0.0,0.0,FPKM
Strain 7,b1107,0.0,0.0,FPKM
Strain 7,b0433,0.0,0.0,FPKM
Strain 7,b3619,0.0,0.0,FPKM
Strain 7,b2937,0.0,0.0,FPKM
Strain 7,b2563,0.0,0.0,FPKM
Strain 7,b3475,0.0,0.0,FPKM
Strain 7,b3018,0.0,0.0,FPKM
Strain 7,b1533,0.0,0.0,FPKM
Strain 7,b2578,0.0,0.0,FPKM
Strain 7,b3958,0.0,3.35897620822082,FPKM
Strain 7,b4067,0.0,0.0,FPKM
Strain 7,b1623,0.0,0.0,FPKM
Strain 7,b1096,0.0,0.008110150864070109,FPKM
Strain 7,b0572,0.0,0.0,FPKM
Strain 7,b0575,0.0,0.0,FPKM
Strain 7,b0573,0.0,0.0,FPKM
Strain 7,b0574,0.0,0.0,FPKM
Strain 7,b3360,0.0,0.007172756465703468,FPKM
Strain 7,b1812,0.0,0.0,FPKM
Strain 7,b4006,0.0,9.470402061263801,FPKM
Strain 7,b3416,0.0,0.0,FPKM
Strain 7,b0522,0.0,8.960796875064517,FPKM
Strain 7,b0523,0.0,7.91126426801878,FPKM
Strain 7,b0116,0.0,116.90203730994861,FPKM
Strain 7,b0726,0.0,0.0,FPKM
Strain 7,b0727,0.0,0.0,FPKM
Strain 7,b2587,0.0,0.0,FPKM
Strain 7,b1488,0.0,0.0,FPKM
Strain 7,b1486,0.0,0.0,FPKM
Strain 7,b1487,0.0,0.0,FPKM
Strain 7,b3544,0.0,0.0,FPKM
Strain 7,b3541,0.0,0.0,FPKM
Strain 7,b1483,0.0,0.0,FPKM
Strain 7,b1485,0.0,0.0,FPKM
Strain 7,b3540,0.0,0.0,FPKM
Strain 7,b3543,0.0,0.0,FPKM
Strain 7,b3542,0.0,0.0,FPKM
Strain 7,b1484,0.0,0.0,FPKM
Strain 7,b3665,0.0,0.0,FPKM
Strain 7,b3714,0.0,0.0,FPKM
Strain 7,b3654,0.0,0.0,FPKM
Strain 7,b0474,0.0,0.0,FPKM
Strain 7,b0120,0.0,0.0,FPKM
Strain 7,b3806,0.0,0.0,FPKM
Strain 7,b0092,0.0,0.31128094513092425,FPKM
Strain 7,b0381,0.0,0.27962487475840136,FPKM
Strain 7,b1325,0.0,0.0,FPKM
Strain 7,b4053,0.0,0.4159818685914073,FPKM
Strain 7,b1190,0.0,0.4944864493711299,FPKM
Strain 7,b0030,0.0,0.0,FPKM
Strain 7,b2393,0.0,0.0,FPKM
Strain 7,b2964,0.0,0.0,FPKM
Strain 7,b2406,0.0,0.0,FPKM
Strain 7,b0411,0.0,0.0,FPKM
Strain 7,b1992,0.0,0.0,FPKM
Strain 7,b0870,0.0,0.0,FPKM
Strain 7,b2551,0.0,0.0,FPKM
Strain 7,b2379,0.0,6.458741895522971,FPKM
Strain 7,b2290,0.0,6.724965369348359,FPKM
Strain 7,b2697,0.0,0.0,FPKM
Strain 7,b3457,0.0,0.0,FPKM
Strain 7,b3460,0.0,0.0,FPKM
Strain 7,b3456,0.0,0.0,FPKM
Strain 7,b3455,0.0,0.0,FPKM
Strain 7,b3454,0.0,0.0,FPKM
Strain 7,b4208,0.0,0.0,FPKM
Strain 7,b1711,0.0,0.0,FPKM
Strain 7,b1709,0.0,0.0,FPKM
Strain 7,b0158,0.0,0.0,FPKM
Strain 7,b3006,0.0,0.0,FPKM
Strain 7,b3966,0.0,0.0,FPKM
Strain 7,b3005,0.0,0.0,FPKM
Strain 7,b1252,0.0,0.0,FPKM
Strain 7,b0007,0.0,0.0,FPKM
Strain 7,b0356,0.0,0.0,FPKM
Strain 7,b1478,0.0,0.0,FPKM
Strain 7,b3397,0.0,0.0,FPKM
Strain 7,b3034,0.0,0.0,FPKM
Strain 7,b0469,0.0,0.008226241127880481,FPKM
Strain 7,b2750,0.0,2.4814765484459618,FPKM
Strain 7,b1131,0.0,8.248567303134967,FPKM
Strain 7,b4177,0.0,3.019698431126547,FPKM
Strain 7,b0677,0.0,0.0,FPKM
Strain 7,b1385,0.0,0.0,FPKM
Strain 7,b1300,0.0,0.0,FPKM
Strain 7,b3223,0.0,0.0,FPKM
Strain 7,b3588,0.0,0.0,FPKM
Strain 7,b0110,0.0,0.0,FPKM
Strain 7,b2817,0.0,0.0,FPKM
Strain 7,b4169,0.0,0.0,FPKM
Strain 7,b2435,0.0,0.0,FPKM
Strain 7,b4084,0.0,0.0,FPKM
Strain 7,b4090,0.0,29.227709051629645,FPKM
Strain 7,b0516,0.0,2.8249064843021356,FPKM
Strain 7,b0512,0.0,3.231223689571021,FPKM
Strain 7,b0511,0.0,0.0,FPKM
Strain 7,b3222,0.0,0.0,FPKM
Strain 7,b4085,0.0,0.0,FPKM
Strain 7,b0774,0.0,2.1885262810846173e-05,FPKM
Strain 7,b4087,0.0,0.0,FPKM
Strain 7,b4088,0.0,0.0,FPKM
Strain 7,b4086,0.0,0.0,FPKM
Strain 7,b3833,0.0,0.0,FPKM
Strain 7,b1677,0.0,0.0,FPKM
Strain 7,b0657,0.0,0.0,FPKM
Strain 7,b4194,0.0,0.0,FPKM
Strain 7,b4195,0.0,0.0,FPKM
Strain 7,b4193,0.0,0.0,FPKM
Strain 7,b3994,0.0,0.0021911559528975913,FPKM
Strain 7,b3012,0.0,0.0,FPKM
Strain 7,b1781,0.0,0.0,FPKM
Strain 7,b0207,0.0,0.0,FPKM
Strain 7,b3001,0.0,0.0,FPKM
Strain 7,b3945,0.0,0.0,FPKM
Strain 7,b1767,0.0,0.0,FPKM
Strain 7,b0828,0.0,0.0,FPKM
Strain 7,b2957,0.0,0.0,FPKM
Strain 7,b1982,0.0,0.0,FPKM
Strain 7,b0674,0.0,0.0,FPKM
Strain 7,b3091,0.0,0.0,FPKM
Strain 7,b3744,0.0,2.817607574407371,FPKM
Strain 7,b2523,0.0,0.0,FPKM
Strain 7,b0932,0.0,0.0,FPKM
Strain 7,b4260,0.0,0.0,FPKM
Strain 7,b0237,0.0,0.0,FPKM
Strain 7,b0930,0.0,0.0,FPKM
Strain 7,b1453,0.0,0.0,FPKM
Strain 7,b3502,0.0,0.0,FPKM
Strain 7,b0131,0.0,0.006195647678891549,FPKM
Strain 7,b4244,0.0,3.4145187927854987,FPKM
Strain 7,b4245,0.0,4.007212845518126,FPKM
Strain 7,b3940,0.0,7.634244724514023,FPKM
Strain 7,b4024,0.0,10.386333453869257,FPKM
Strain 7,b0002,0.0,7.027261283873,FPKM
Strain 7,b2574,0.0,0.026040231802551772,FPKM
Strain 7,b1640,0.0,0.0,FPKM
Strain 7,b1263,0.0,0.6747024979574185,FPKM
Strain 7,b1264,0.0,0.6669357221882601,FPKM
Strain 7,b0776,0.0,2.1162265863038336e-05,FPKM
Strain 7,b4139,0.0,0.0,FPKM
Strain 7,b1732,0.0,0.0,FPKM
Strain 7,b3942,0.0,0.0,FPKM
Strain 7,b0928,0.0,1.417020195538535,FPKM
Strain 7,b0049,0.0,0.0,FPKM
Strain 7,b1866,0.0,0.0,FPKM
Strain 7,b3196,0.0,0.05709706227781261,FPKM
Strain 7,b1270,0.0,0.0,FPKM
Strain 7,b4129,0.0,0.0,FPKM
Strain 7,b0655,0.0,0.0,FPKM
Strain 7,b0654,0.0,0.0,FPKM
Strain 7,b0653,0.0,0.0,FPKM
Strain 7,b0652,0.0,0.0,FPKM
Strain 7,b3528,0.0,0.0,FPKM
Strain 7,b4138,0.0,0.0,FPKM
Strain 7,b4123,0.0,0.0,FPKM
Strain 7,b4077,0.0,0.0,FPKM
Strain 7,b0121,0.0,0.0,FPKM
Strain 7,b2874,0.0,7.177353902463884,FPKM
Strain 7,b0521,0.0,7.255670668983914,FPKM
Strain 7,b0323,0.0,6.0384896465523425,FPKM
Strain 7,b0032,0.0,0.0,FPKM
Strain 7,b0033,0.0,0.0,FPKM
Strain 7,b3503,0.0,0.0,FPKM
Strain 7,b1064,0.0,0.0,FPKM
Strain 7,b1747,0.0,0.0,FPKM
Strain 7,b1539,0.0,0.0,FPKM
Strain 7,b0444,0.0,0.0,FPKM
Strain 7,b3469,0.0,0.0,FPKM
Strain 7,b0752,0.0,0.0,FPKM
Strain 7,b3915,0.0,0.0,FPKM
Strain 7,b2019,0.0,1.1298937467878123,FPKM
Strain 7,b3059,0.0,0.0,FPKM
Strain 7,b3738,0.0,543.2759223876058,FPKM
Strain 7,b3735,0.0,508.7585366913441,FPKM
Strain 7,b3731,0.0,546.3294973186706,FPKM
Strain 7,b3739,0.0,534.5126347828092,FPKM
Strain 7,b3736,0.0,513.5213245153114,FPKM
Strain 7,b3732,0.0,532.7839325745991,FPKM
Strain 7,b3737,0.0,536.4675825193307,FPKM
Strain 7,b3733,0.0,526.3708584510302,FPKM
Strain 7,b3734,0.0,571.927953505356,FPKM
Strain 7,b0312,0.0,0.0,FPKM
Strain 7,b3040,0.0,0.004289772300983109,FPKM
Strain 7,b3918,0.0,0.0,FPKM
Strain 7,b2794,0.0,0.0,FPKM
Strain 7,b0827,0.0,0.0,FPKM
Strain 7,b3857,0.0,0.0,FPKM
Strain 7,b3856,0.0,0.0,FPKM
Strain 7,b4214,0.0,2.5350431197374395,FPKM
Strain 7,b3551,0.0,0.0,FPKM
Strain 7,b1208,0.0,5.703585386303168,FPKM
Strain 7,b0775,0.0,2.2148455812356862e-05,FPKM
Strain 7,b1661,0.0,0.0,FPKM
Strain 7,b0367,0.0,0.0,FPKM
Strain 7,b0934,0.0,0.0,FPKM
Strain 7,b0365,0.0,0.0,FPKM
Strain 7,b0936,0.0,0.0,FPKM
Strain 7,b0366,0.0,0.0,FPKM
Strain 7,b0933,0.0,0.0,FPKM
Strain 7,b2128,0.0,0.0,FPKM
Strain 7,b2130,0.0,0.0,FPKM
Strain 7,b2131,0.0,0.0,FPKM
Strain 7,b2129,0.0,0.0,FPKM
Strain 7,b0314,0.0,0.0,FPKM
Strain 7,b1801,0.0,0.0,FPKM
Strain 7,b1216,0.0,0.0,FPKM
Strain 7,b4132,0.0,0.0,FPKM
Strain 7,b0311,0.0,0.0,FPKM
Strain 7,b2599,0.0,2.090619441598707,FPKM
Strain 7,b2600,0.0,1.6687542886398867,FPKM
Strain 7,b2329,0.0,4.211074926199914,FPKM
Strain 7,b4039,0.0,0.002567884790772702,FPKM
Strain 7,b2538,0.0,0.0,FPKM
Strain 7,b2540,0.0,0.0,FPKM
Strain 7,b2539,0.0,0.0,FPKM
Strain 7,b2542,0.0,0.0,FPKM
Strain 7,b0617,0.0,0.0,FPKM
Strain 7,b0614,0.0,0.0,FPKM
Strain 7,b0616,0.0,0.0,FPKM
Strain 7,b0615,0.0,0.0,FPKM
Strain 7,b1592,0.0,0.032139765461769734,FPKM
Strain 7,b0155,0.0,0.027078471625682513,FPKM
Strain 7,b0612,0.0,0.0,FPKM
Strain 7,b0463,0.0,0.0,FPKM
Strain 7,b0462,0.0,0.0,FPKM
Strain 7,b3035,0.0,0.0,FPKM
Strain 7,b2470,0.0,0.0,FPKM
Strain 7,b0789,0.0,0.0,FPKM
Strain 7,b1249,0.0,0.0,FPKM
Strain 7,b3816,0.0,0.003503349221247579,FPKM
Strain 7,b2174,0.0,0.0,FPKM
Strain 7,b0914,0.0,0.0,FPKM
Strain 7,b0968,0.0,0.0,FPKM
Strain 7,b1308,0.0,0.0,FPKM
Strain 7,b0151,0.0,0.0,FPKM
Strain 7,b0152,0.0,0.0,FPKM
Strain 7,b0153,0.0,0.0,FPKM
Strain 7,b1102,0.0,0.0,FPKM
Strain 7,b2765,0.0,0.0,FPKM
Strain 7,b0783,0.0,0.0027699096023301134,FPKM
Strain 7,b0781,0.0,0.0026136726096454674,FPKM
Strain 7,b0340,0.0,0.0,FPKM
Strain 7,b0341,0.0,0.0,FPKM
Strain 7,b1919,0.0,0.0,FPKM
Strain 7,b3008,0.0,1.8526011323855502,FPKM
Strain 7,b3708,0.0,0.7069588439177701,FPKM
Strain 7,b2414,0.0,2.7942745055396765,FPKM
Strain 7,b2421,0.0,3.0268776725548716,FPKM
Strain 7,b2810,0.0,0.0,FPKM
Strain 7,b2436,0.0,0.0025592651065253634,FPKM
Strain 7,b3867,0.0,0.0,FPKM
Strain 7,b0038,0.0,0.0,FPKM
Strain 7,b0037,0.0,0.0,FPKM
Strain 7,b0036,0.0,0.0,FPKM
Strain 7,b1622,0.0,1.7848191927978012,FPKM
Strain 7,b0414,0.0,0.005014180792542387,FPKM
Strain 7,b0526,0.0,0.0,FPKM
Strain 7,b0886,0.0,0.0,FPKM
Strain 7,b0887,0.0,0.0,FPKM
Strain 7,b0062,0.0,0.0,FPKM
Strain 7,b2677,0.0,0.0,FPKM
Strain 7,b2679,0.0,0.0,FPKM
Strain 7,b2678,0.0,0.0,FPKM
Strain 7,b0979,0.0,0.0,FPKM
Strain 7,b0978,0.0,0.0,FPKM
Strain 7,b0733,0.0,0.0,FPKM
Strain 7,b0734,0.0,0.0,FPKM
Strain 7,b0430,0.0,326.0626582282318,FPKM
Strain 7,b0431,0.0,344.94074169948175,FPKM
Strain 7,b0429,0.0,322.9281423565065,FPKM
Strain 7,b0432,0.0,311.5791277917617,FPKM
Strain 7,b2143,0.0,0.0,FPKM
Strain 7,b4111,0.0,0.05145354644913475,FPKM
Strain 7,b0040,0.0,0.0,FPKM
Strain 7,b0651,0.0,0.0,FPKM
Strain 7,b2162,0.0,0.0,FPKM
Strain 7,b2066,0.0,0.0,FPKM
Strain 7,b0720,0.0,20.819076374736014,FPKM
Strain 7,b0337,0.0,0.0,FPKM
Strain 7,b0336,0.0,0.0,FPKM
Strain 7,b0910,0.0,3.709661917769312,FPKM
Strain 7,b2975,0.0,0.0,FPKM
Strain 7,b3603,0.0,0.0,FPKM
Strain 7,b3846,0.0,0.0,FPKM
Strain 7,b1189,0.0,0.0,FPKM
Strain 7,b4042,0.0,0.0,FPKM
Strain 7,b2780,0.0,1.865117664588144,FPKM
Strain 7,b0123,0.0,0.0,FPKM
Strain 7,b0484,0.0,0.0,FPKM
Strain 7,b3425,0.0,0.0,FPKM
Strain 7,b2344,0.0,0.0,FPKM
Strain 7,b2871,0.0,0.0,FPKM
Strain 7,b2838,0.0,3.720181091914114,FPKM
Strain 7,b3809,0.0,3.935318344799615,FPKM
Strain 7,b3693,0.0,0.0,FPKM
Strain 7,b3909,0.0,0.0,FPKM
Strain 7,b3526,0.0,0.0,FPKM
Strain 7,b0754,0.0,4.230007114237369,FPKM
Strain 7,b1704,0.0,3.962804059872405,FPKM
Strain 7,b2601,0.0,4.816740601506266,FPKM
Strain 7,b0175,0.0,0.0,FPKM
Strain 7,b4477,0.0,0.0,FPKM
Strain 7,b3648,0.0,2.860701747172733,FPKM
Strain 7,b2715,0.0,0.0,FPKM
Strain 7,b3722,0.0,0.0,FPKM
Strain 7,b1393,0.0,0.0,FPKM
Strain 7,b3041,0.0,0.009258697114249495,FPKM
Strain 7,b3771,0.0,3.172733809769802,FPKM
Strain 7,b1200,0.0,0.0,FPKM
Strain 7,b1198,0.0,0.0,FPKM
Strain 7,b1199,0.0,0.0,FPKM
Strain 7,b0778,0.0,2.1063612346058992e-05,FPKM
Strain 7,b1734,0.0,0.0,FPKM
Strain 7,b1900,0.0,0.0,FPKM
Strain 7,b1901,0.0,0.0,FPKM
Strain 7,b4460,0.0,0.0,FPKM
Strain 7,b0596,0.0,0.0,FPKM
Strain 7,b0594,0.0,0.0,FPKM
Strain 7,b2541,0.0,0.0,FPKM
Strain 7,b2065,0.0,0.0,FPKM
Strain 7,b0348,0.0,0.0,FPKM
Strain 7,b2841,0.0,0.0,FPKM
Strain 7,b0031,0.0,4.17969267495958,FPKM
Strain 7,b2478,0.0,4.14055869483054,FPKM
Strain 7,b1528,0.0,0.0,FPKM
Strain 7,b0048,0.0,0.29480515345995706,FPKM
Strain 7,b1606,0.0,0.0,FPKM
Strain 7,b2315,0.0,0.007092903782856792,FPKM
Strain 7,b3930,0.0,0.0,FPKM
Strain 7,b2262,0.0,0.0,FPKM
Strain 7,b0099,0.0,0.0,FPKM
Strain 7,b1865,0.0,0.0,FPKM
Strain 7,b4115,0.0,0.0,FPKM
Strain 7,b3575,0.0,0.0,FPKM
Strain 7,b0736,0.0,0.0,FPKM
Strain 7,b3058,0.0,0.0,FPKM
Strain 7,b4117,0.0,0.0,FPKM
Strain 7,b2938,0.0,0.0,FPKM
Strain 7,b0945,0.0,0.0,FPKM
Strain 7,b1605,0.0,0.0,FPKM
Strain 7,b1062,0.0,3.723698025453546,FPKM
Strain 7,b0103,0.0,0.0059943178932626425,FPKM
Strain 7,b3774,0.0,3.368905535899727,FPKM
Strain 7,b0425,0.0,0.00663249751951522,FPKM
Strain 7,b4381,0.0,0.0,FPKM
Strain 7,b1185,0.0,0.0,FPKM
Strain 7,b3860,0.0,0.0,FPKM
Strain 7,b3960,0.0,3.348289595971544,FPKM
Strain 7,b3177,0.0,0.007440017027528496,FPKM
Strain 7,b2893,0.0,0.0,FPKM
Strain 7,b2582,0.0,0.0,FPKM
Strain 7,b4136,0.0,0.0,FPKM
Strain 7,b3781,0.0,0.0,FPKM
Strain 7,b0578,0.0,0.0,FPKM
Strain 7,b3172,0.0,3.1486434558470373,FPKM
Strain 7,b2303,0.0,0.0,FPKM
Strain 7,b3389,0.0,4.0697492927347305,FPKM
Strain 7,b0604,0.0,0.0,FPKM
Strain 7,b1693,0.0,4.7039801718487375,FPKM
Strain 7,b1876,0.0,0.0,FPKM
Strain 7,b4122,0.0,21.846032148487765,FPKM
Strain 7,b2308,0.0,0.0,FPKM
Strain 7,b0862,0.0,0.0,FPKM
Strain 7,b0863,0.0,0.0,FPKM
Strain 7,b0861,0.0,0.0,FPKM
Strain 7,b2307,0.0,0.0,FPKM
