,Line Name,dgfp_dt,p1,p2,p3,p4,p5
0,SP003-r1,99.22522352857735,2.0,11.0,13.0,24.0,29.0
1,SP003-r2,107.34677026165811,2.0,11.0,13.0,24.0,29.0
2,SP003-r3,109.50416749391593,2.0,11.0,13.0,24.0,29.0
3,SP004-r1,169.829824100466,2.0,11.0,13.0,19.0,25.0
4,SP004-r2,155.425955487989,2.0,11.0,13.0,19.0,25.0
5,SP004-r3,153.89146446583595,2.0,11.0,13.0,19.0,25.0
6,SP008-r1,112.85031032701608,2.0,11.0,15.0,22.0,25.0
7,SP008-r2,116.54963681431526,2.0,11.0,15.0,22.0,25.0
8,SP008-r3,109.23878232210907,2.0,11.0,15.0,22.0,25.0
9,SP011-r1,168.3009709054748,1.0,9.0,13.0,22.0,25.0
10,SP011-r2,152.36335780710792,1.0,9.0,13.0,22.0,25.0
11,SP011-r3,162.329839348746,1.0,9.0,13.0,22.0,25.0
12,SP014-r1,196.1689092993855,5.0,9.0,13.0,22.0,25.0
13,SP014-r2,193.8583457926535,5.0,9.0,13.0,22.0,25.0
14,SP014-r3,206.38589543016167,5.0,9.0,13.0,22.0,25.0
15,SP015-r1,108.58421904304105,4.0,7.0,15.0,19.0,27.0
16,SP015-r2,107.3202720106949,4.0,7.0,15.0,19.0,27.0
17,SP015-r3,125.7883463006011,4.0,7.0,15.0,19.0,27.0
18,SP016-r1,132.35578739211965,4.0,8.0,15.0,21.0,27.0
19,SP016-r2,124.1899839228483,4.0,8.0,15.0,21.0,27.0
20,SP016-r3,169.0076267564688,4.0,8.0,15.0,21.0,27.0
21,SP019-r1,189.2780751928282,5.0,12.0,17.0,23.0,25.0
22,SP019-r2,203.19677782338925,5.0,12.0,17.0,23.0,25.0
23,SP019-r3,226.9656741280044,5.0,12.0,17.0,23.0,25.0
24,SP021-r1,136.02305832883022,4.0,8.0,15.0,21.0,25.0
25,SP021-r2,154.00138246371495,4.0,8.0,15.0,21.0,25.0
26,SP021-r3,158.98413829668047,4.0,8.0,15.0,21.0,25.0
27,SP022-r1,154.15640688142824,1.0,12.0,13.0,19.0,25.0
28,SP022-r2,130.06869260098017,1.0,12.0,13.0,19.0,25.0
29,SP022-r3,146.65345425314374,1.0,12.0,13.0,19.0,25.0
30,SP024-r1,162.57134409518451,5.0,10.0,13.0,21.0,29.0
31,SP024-r2,168.87994578265128,5.0,10.0,13.0,21.0,29.0
32,SP024-r3,161.52839886217401,5.0,10.0,13.0,21.0,29.0
33,SP026-r1,135.51696269066315,1.0,8.0,15.0,20.0,30.0
34,SP026-r2,152.23591097611853,1.0,8.0,15.0,20.0,30.0
35,SP026-r3,147.94834721433946,1.0,8.0,15.0,20.0,30.0
36,SP027-r1,181.6520555660729,4.0,10.0,13.0,22.0,30.0
37,SP027-r2,176.3988273506428,4.0,10.0,13.0,22.0,30.0
38,SP027-r3,170.6334808393741,4.0,10.0,13.0,22.0,30.0
39,SP029-r1,104.0632538200527,2.0,10.0,15.0,23.0,25.0
40,SP029-r2,107.56953596717857,2.0,10.0,15.0,23.0,25.0
41,SP029-r3,105.57630687159508,2.0,10.0,15.0,23.0,25.0
42,SP030-r1,124.1781211816498,1.0,12.0,15.0,21.0,25.0
43,SP030-r2,144.1128349190485,1.0,12.0,15.0,21.0,25.0
44,SP030-r3,138.042144782629,1.0,12.0,15.0,21.0,25.0
45,SP033-r1,108.17343429755647,1.0,9.0,15.0,19.0,27.0
46,SP033-r2,155.54709454119148,1.0,9.0,15.0,19.0,27.0
47,SP033-r3,135.32346520513585,1.0,9.0,15.0,19.0,27.0
48,SP035-r1,186.2959381756565,4.0,7.0,17.0,19.0,26.0
49,SP035-r2,182.37394238166124,4.0,7.0,17.0,19.0,26.0
50,SP035-r3,207.17195360164823,4.0,7.0,17.0,19.0,26.0
51,SP036-r1,189.00683035437638,1.0,10.0,13.0,20.0,26.0
52,SP036-r2,181.83038751423356,1.0,10.0,13.0,20.0,26.0
53,SP036-r3,202.72554161369345,1.0,10.0,13.0,20.0,26.0
54,SP039-r1,194.61250569351355,3.0,8.0,17.0,21.0,27.0
55,SP039-r2,226.985265252105,3.0,8.0,17.0,21.0,27.0
56,SP039-r3,218.82297431147038,3.0,8.0,17.0,21.0,27.0
57,SP040-r1,155.78257217136425,1.0,8.0,15.0,21.0,29.0
58,SP040-r2,180.1998828190207,1.0,8.0,15.0,21.0,29.0
59,SP040-r3,203.54596545767123,1.0,8.0,15.0,21.0,29.0
60,SP042-r1,173.42535065782852,5.0,10.0,17.0,21.0,30.0
61,SP042-r2,185.9297877038286,5.0,10.0,17.0,21.0,30.0
62,SP042-r3,163.32659527277622,5.0,10.0,17.0,21.0,30.0
63,SP047-r1,124.59015966909192,1.0,7.0,15.0,19.0,25.0
64,SP047-r2,144.50091002806778,1.0,7.0,15.0,19.0,25.0
65,SP047-r3,121.73612402904268,1.0,7.0,15.0,19.0,25.0
66,SP048-r1,123.46302486234951,1.0,9.0,13.0,24.0,29.0
67,SP048-r2,132.0441808224071,1.0,9.0,13.0,24.0,29.0
68,SP048-r3,121.09200890279456,1.0,9.0,13.0,24.0,29.0
69,SP050-r1,169.4594883365973,2.0,10.0,16.0,22.0,26.0
70,SP050-r2,166.6919036916267,2.0,10.0,16.0,22.0,26.0
71,SP050-r3,172.5798181322852,2.0,10.0,16.0,22.0,26.0
72,SP054-r1,144.4620623250853,3.0,10.0,13.0,24.0,29.0
73,SP054-r2,158.51736385447686,3.0,10.0,13.0,24.0,29.0
74,SP054-r3,138.9679814883935,3.0,10.0,13.0,24.0,29.0
75,SP055-r1,109.37904881403118,5.0,11.0,15.0,22.0,25.0
76,SP055-r2,121.9904256492045,5.0,11.0,15.0,22.0,25.0
77,SP055-r3,133.36030284774787,5.0,11.0,15.0,22.0,25.0
78,SP056-r1,190.42839462463206,1.0,7.0,13.0,22.0,30.0
79,SP056-r2,184.26178871100095,1.0,7.0,13.0,22.0,30.0
80,SP056-r3,192.12117585119168,1.0,7.0,13.0,22.0,30.0
81,SP057-r1,118.62195260414549,3.0,11.0,15.0,23.0,29.0
82,SP057-r2,139.327444008353,3.0,11.0,15.0,23.0,29.0
83,SP057-r3,135.45561843535404,3.0,11.0,15.0,23.0,29.0
84,SP058-r1,124.49235923127162,1.0,8.0,13.0,21.0,25.0
85,SP058-r2,121.54980579728647,1.0,8.0,13.0,21.0,25.0
86,SP058-r3,120.78811714313392,1.0,8.0,13.0,21.0,25.0
87,SP062-r1,133.5255220012467,3.0,8.0,15.0,20.0,29.0
88,SP062-r2,123.59799811665995,3.0,8.0,15.0,20.0,29.0
89,SP062-r3,181.07257967678032,3.0,8.0,15.0,20.0,29.0
90,SP063-r1,165.1777337345008,4.0,8.0,13.0,24.0,26.0
91,SP063-r2,174.2881692138031,4.0,8.0,13.0,24.0,26.0
92,SP063-r3,160.6372087938764,4.0,8.0,13.0,24.0,26.0
93,SP064-r1,134.24962948756473,1.0,10.0,15.0,24.0,30.0
94,SP064-r2,147.09147931499237,1.0,10.0,15.0,24.0,30.0
95,SP064-r3,152.65191933257972,1.0,10.0,15.0,24.0,30.0
96,SP065-r1,90.87482764318287,2.0,8.0,15.0,19.0,29.0
97,SP065-r2,108.18295694774113,2.0,8.0,15.0,19.0,29.0
98,SP065-r3,118.96294427630829,2.0,8.0,15.0,19.0,29.0
99,SP066-r1,104.15294640357276,6.0,12.0,15.0,19.0,28.0
100,SP066-r2,128.49861791523287,6.0,12.0,15.0,19.0,28.0
101,SP066-r3,157.08439216753965,6.0,12.0,15.0,19.0,28.0
102,SP069-r1,79.98882835422908,1.0,11.0,13.0,24.0,27.0
103,SP069-r2,110.54678014208896,1.0,11.0,13.0,24.0,27.0
104,SP069-r3,83.02864958291786,1.0,11.0,13.0,24.0,27.0
105,SP071-r1,162.04265068679348,6.0,8.0,13.0,22.0,25.0
106,SP071-r2,156.45715275134899,6.0,8.0,13.0,22.0,25.0
107,SP071-r3,150.0307730029408,6.0,8.0,13.0,22.0,25.0
108,SP072-r1,74.60351805476988,1.0,9.0,15.0,22.0,27.0
109,SP072-r2,94.67687465119273,1.0,9.0,15.0,22.0,27.0
110,SP072-r3,64.78142682738783,1.0,9.0,15.0,22.0,27.0
111,SP074-r1,159.55136716003105,4.0,8.0,15.0,24.0,29.0
