iter	RMSE
0	0.1896369395
1	0.1752257827
2	0.167994529
3	0.1553571073
4	0.1438005099
5	0.1351125166
6	0.1282774861
7	0.1189233176
8	0.1153775651
9	0.112029307
10	0.1093481385
11	0.1014901418
12	0.09843515913
13	0.09554298995
14	0.08883531544
15	0.08374990121
16	0.07915955708
17	0.07619897588
18	0.07101823122
19	0.06873874655
20	0.06587622518
21	0.06159138693
22	0.05770449218
23	0.05593955901
24	0.05392295574
25	0.05204909629
26	0.04989749661
27	0.04858297615
28	0.04777064639
29	0.0459899238
30	0.04525183132
31	0.04411438792
32	0.04310097078
33	0.0406561314
34	0.03954682894
35	0.03812537999
36	0.0368293734
37	0.03493332656
38	0.03469144109
39	0.03405011606
40	0.03300747483
41	0.03145915144
42	0.03051007746
43	0.02980368237
44	0.02853673849
45	0.02741053742
46	0.02660826648
47	0.02622571014
48	0.02569080531
49	0.02515212719
